"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location",":@computed_region_efsh_h5xi",":@computed_region_f5dn_yrer",":@computed_region_yeji_bk3q",":@computed_region_92fq_4b7q",":@computed_region_sbqj_enih",":@computed_region_7mpf_4k6g"
"60611601","2024-03-17T13:34:39.000","2024-03-17T14:24:52.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11101","11-25 46 ROAD","46 ROAD","11 STREET","21 STREET","11 STREET","21 STREET","ADDRESS","LONG ISLAND CITY","46 ROAD",,"Closed",,"This complaint does not fall under the Police Department's jurisdiction.","2024-03-17T14:24:57.000","02 QUEENS","4000550013","QUEENS","998168","210916","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74558133205491","-73.94977105605933","
,  
(40.74558133205491, -73.94977105605933)","16858","53","3","33","66","66"
"60609362","2024-03-17T13:34:40.000","2024-03-17T20:04:27.000","NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","10460","1806 VYSE AVENUE","VYSE AVENUE","EAST  174 STREET","BOSTON ROAD","EAST  174 STREET","BOSTON ROAD","ADDRESS","BRONX","VYSE AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-17T20:04:29.000","03 BRONX","2029980018","BRONX","1015962","244500","ONLINE","Unspecified","BRONX",,,,,,,,"40.83771436714237","-73.88539542214933","
,  
(40.83771436714237, -73.88539542214933)","11269","34","5","43","25","25"
"60608333","2024-03-17T13:34:42.000","2024-03-17T14:18:38.000","NYPD","New York City Police Department","Illegal Parking","Paper License Plates","Street/Sidewalk","11368","37-16 108 STREET","108 STREET","37 AVENUE",,"37 AVENUE",,"ADDRESS","CORONA","108 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:18:42.000","03 QUEENS","4017730010","QUEENS","1022964","213870","MOBILE","Unspecified","QUEENS",,,,,,,,"40.753615518032426","-73.86026738143597","
,  
(40.753615518032426, -73.86026738143597)","14510","65","3","21","73","73"
"60609658","2024-03-17T13:34:52.000","2024-03-17T14:29:41.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10452","24 ELLIOT PLACE","ELLIOT PLACE","JEROME AVENUE","WALTON AVENUE","JEROME AVENUE","WALTON AVENUE","ADDRESS","BRONX","ELLIOT PLACE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-17T14:29:48.000","04 BRONX","2028410014","BRONX","1007075","245088","MOBILE","Unspecified","BRONX",,,,,,,,"40.83935569668898","-73.9175102905183","
,  
(40.83935569668898, -73.9175102905183)","10930","50","5","42","27","27"
"60608357","2024-03-17T13:34:53.000","2024-03-18T15:22:59.000","DSNY","Department of Sanitation","Dead Animal","Bird","Street","11426","85-23 250 STREET","250 STREET","85 AVENUE","86 AVENUE","85 AVENUE","86 AVENUE","ADDRESS","BELLEROSE","250 STREET",,"Closed",,"The Department of Sanitation cleaned the location.","2024-03-18T13:42:32.000","13 QUEENS","4086180013","QUEENS","1062818","206410","ONLINE","Unspecified","QUEENS",,,,,,,,"40.732875477486736","-73.71650798661358","
,  
(40.732875477486736, -73.71650798661358)","24335","63","3","16","63","63"
"60610246","2024-03-17T13:35:00.000","2024-03-17T13:45:00.000","DEP","Department of Environmental Protection","Water System","Leak (Use Comments) (WA2)",,"11378",,,,,"BORDEN AVENUE","JAY AVENUE","INTERSECTION","QUEENS",,,"Closed",,"The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2024-03-17T13:45:00.000","05 QUEENS",,"QUEENS","1011646","203889","PHONE","Unspecified","QUEENS",,,,,,,,"40.726262480625145","-73.90115868300342","
,  
(40.726262480625145, -73.90115868300342)","14788","54","3","34","62","62"
"60612035","2024-03-17T13:35:00.000","2024-03-20T10:43:00.000","DEP","Department of Environmental Protection","Noise","Noise: Construction Before/After Hours (NM1)",,"10467","3036 BARNES AVENUE","BARNES AVENUE","ADEE AVE","BURKE AVE",,,"ADDRESS","BRONX",,"N/A","Closed",,"The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.","2024-03-20T10:43:00.000","12 BRONX",,"BRONX","1022041","256316","ONLINE","Unspecified","BRONX",,,,,,,,"40.87012180752932","-73.86335983587517","
,  
(40.87012180752932, -73.86335983587517)","11605","29","5","2","30","30"
"60606723","2024-03-17T13:35:17.000","2024-03-17T13:43:20.000","NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","11368","109-26 54 AVENUE","54 AVENUE","OTIS AVENUE","111 STREET","OTIS AVENUE","111 STREET","ADDRESS","CORONA","54 AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-17T13:43:26.000","04 QUEENS","4020100007","QUEENS","1025111","209802","MOBILE","Unspecified","QUEENS",,,,,,,,"40.742440236195606","-73.85254282422007","
,  
(40.742440236195606, -73.85254282422007)","14510","66","3","21","68","68"
"60607494","2024-03-17T13:36:15.000","2024-03-17T14:12:00.000","DPR","Department of Parks and Recreation","Violation of Park Rules","Unlicensed Vendors","Park","10028","1000 5 AVENUE","5 AVENUE","EAST   81 STREET","EAST   82 STREET","EAST   81 STREET","EAST   82 STREET","ADDRESS","NEW YORK","5 AVENUE",,"Closed",,"Upon inspection the reported condition was not found, and, therefore, no action was taken.","2024-03-17T14:12:04.000","64 MANHATTAN","1011110001","MANHATTAN","994623","222956","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.77863290127972","-73.96254609596876","
,  
(40.77863290127972, -73.96254609596876)",,"19","4","19","13","13"
"60610989","2024-03-17T13:36:17.000","2024-03-21T10:48:34.000","DOT","Department of Transportation","Sidewalk Condition","Sidewalk Violation","Sidewalk","11210","757 EAST   22 STREET","EAST   22 STREET","FARRAGUT ROAD","GLENWOOD ROAD","FARRAGUT ROAD","GLENWOOD ROAD","ADDRESS","BROOKLYN","EAST   22 STREET",,"Closed",,"A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.","2024-03-21T10:48:40.000","14 BROOKLYN","3052430015","BROOKLYN","996479","170248","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.63395955900509","-73.9559403414177","
,  
(40.63395955900509, -73.9559403414177)","17217","60","2","26","43","43"
"60611970","2024-03-17T13:36:38.000","2024-03-17T14:52:18.000","NYPD","New York City Police Department","Illegal Parking","Blocked Crosswalk","Street/Sidewalk","10470","4752 BARNES AVENUE","BARNES AVENUE","ST OUEN STREET","PENFIELD STREET","ST OUEN STREET","PENFIELD STREET","ADDRESS","BRONX","BARNES AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","2024-03-17T14:52:21.000","12 BRONX","2051180061","BRONX","1026300","268695","ONLINE","Unspecified","BRONX",,,,,,,,"40.904078960129176","-73.84788295865373","
,  
(40.904078960129176, -73.84788295865373)","11608","29","5","40","30","30"
"60610155","2024-03-17T13:36:38.000","2024-03-17T14:09:42.000","NYPD","New York City Police Department","Illegal Parking","Blocked Crosswalk","Street/Sidewalk","11226","1726 CORTELYOU ROAD","CORTELYOU ROAD","EAST   17 STREET","EAST   18 STREET","EAST   17 STREET","EAST   18 STREET","ADDRESS","BROOKLYN","CORTELYOU ROAD",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2024-03-17T14:09:49.000","14 BROOKLYN","3051600010","BROOKLYN","994701","173230","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.64214678792785","-73.96234164808529","
,  
(40.64214678792785, -73.96234164808529)","13510","60","2","11","43","43"
"60612441","2024-03-17T13:36:50.000","2024-03-17T13:56:18.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11218","370 OCEAN PARKWAY","OCEAN PARKWAY","AVENUE C","CORTELYOU ROAD","AVENUE C","CORTELYOU ROAD","ADDRESS","BROOKLYN","OCEAN PARKWAY",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T13:56:22.000","12 BROOKLYN","3053740021","BROOKLYN","991615","172415","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.63991289155811","-73.97346239858018","
,  
(40.63991289155811, -73.97346239858018)","17620","2","2","27","39","39"
"60611989","2024-03-17T13:36:59.000","2024-03-17T15:03:20.000","NYPD","New York City Police Department","Illegal Parking","Paper License Plates","Street/Sidewalk","10312","810 DRUMGOOLE ROAD WEST","DRUMGOOLE ROAD WEST","NOTUS AVENUE","GRANTWOOD AVENUE","NOTUS AVENUE","GRANTWOOD AVENUE","ADDRESS","STATEN ISLAND","DRUMGOOLE ROAD WEST",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T15:03:23.000","03 STATEN ISLAND","5056640110","STATEN ISLAND","934544","139998","MOBILE","Unspecified","STATEN ISLAND",,,,,,,,"40.5507985366968","-74.17886214054549","
,  
(40.5507985366968, -74.17886214054549)","10699","15","1","9","77","77"
"60611121","2024-03-17T13:37:12.000","2024-03-17T14:01:13.000","NYPD","New York City Police Department","Illegal Parking","License Plate Obscured","Street/Sidewalk","11375","68-33 OLCOTT STREET","OLCOTT STREET","SELFRIDGE STREET","69 AVENUE","SELFRIDGE STREET","69 AVENUE","ADDRESS","FOREST HILLS","OLCOTT STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2024-03-17T14:01:17.000","06 QUEENS","4031930035","QUEENS","1024162","198951","ONLINE","Unspecified","QUEENS",,,,,,,,"40.71266125988315","-73.85603188066014","
,  
(40.71266125988315, -73.85603188066014)","14786","40","3","28","70","70"
"60606332","2024-03-17T13:37:20.000","2024-03-18T02:38:37.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11219","1415 67 STREET","67 STREET","14 AVENUE","15 AVENUE","14 AVENUE","15 AVENUE","ADDRESS","BROOKLYN","67 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-18T02:38:44.000","11 BROOKLYN","3057620069","BROOKLYN","984257","166312","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.62316450962734","-73.9999747838977","
,  
(40.62316450962734, -73.9999747838977)","17621","1","2","7","37","37"
"60609759","2024-03-17T13:37:39.000","2024-03-17T13:55:51.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11218","309 OCEAN PARKWAY","OCEAN PARKWAY","BEVERLEY ROAD","AVENUE C","BEVERLEY ROAD","AVENUE C","ADDRESS","BROOKLYN","OCEAN PARKWAY",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T13:55:54.000","12 BROOKLYN","3053587501","BROOKLYN","991517","173130","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.64187549418387","-73.97381474247835","
,  
(40.64187549418387, -73.97381474247835)","17620","2","2","27","39","39"
"60611529","2024-03-17T13:37:52.000","2024-03-17T14:01:40.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11693","162 BEACH   96 STREET","BEACH   96 STREET","SHORE FRONT PARKWAY","ROCKAWAY BEACH BOULEVARD","SHORE FRONT PARKWAY","ROCKAWAY BEACH BOULEVARD","ADDRESS","FAR ROCKAWAY","BEACH   96 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:01:43.000","14 QUEENS","4161680025","QUEENS","1034957","152227","PHONE","Unspecified","QUEENS",,,,,,,,"40.58435902508773","-73.81744416237427","
,  
(40.58435902508773, -73.81744416237427)","20531","51","3","41","58","58"
"60609370","2024-03-17T13:37:54.000","2024-03-17T15:05:28.000","NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk","Street/Sidewalk","11208","447 PINE STREET","PINE STREET","PITKIN AVENUE","BELMONT AVENUE","PITKIN AVENUE","BELMONT AVENUE","ADDRESS","BROOKLYN","PINE STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-17T15:05:33.000","05 BROOKLYN","3042340001","BROOKLYN","1020096","185111","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.67469111316397","-73.87077213265532","
,  
(40.67469111316397, -73.87077213265532)","17215","45","2","25","47","47"
"60612699","2024-03-17T13:37:56.000","2024-03-18T14:52:21.000","DOHMH","Department of Health and Mental Hygiene","Unsanitary Animal Pvt Property","Cat","3+ Family Apartment Building","11213","1453 PROSPECT PLACE","PROSPECT PLACE","UTICA AVENUE","ROCHESTER AVENUE","UTICA AVENUE","ROCHESTER AVENUE","ADDRESS","BROOKLYN","PROSPECT PLACE",,"Closed",,"This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.","2024-03-17T13:37:56.000","08 BROOKLYN","3013610056","BROOKLYN","1004095","184528","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.673141240562664","-73.92845877400181","
,  
(40.673141240562664, -73.92845877400181)","17615","16","2","49","49","49"
"60611152","2024-03-17T13:38:00.000","2024-03-18T09:05:00.000","DEP","Department of Environmental Protection","Water System","Hydrant Running (WC3)",,"10034","266 DYCKMAN STREET","DYCKMAN STREET","PAYSON AVE","HENSHAW ST",,,"ADDRESS","NEW YORK",,,"Closed",,"The Department of Environmental Protection investigated this complaint and shut the running hydrant.","2024-03-18T09:05:00.000","12 MANHATTAN",,"MANHATTAN","1003935","255089","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.86681301617635","-73.92882890101214","
,  
(40.86681301617635, -73.92882890101214)","13092","47","4","39","22","22"
"60610156","2024-03-17T13:38:08.000","2024-03-17T14:50:02.000","NYPD","New York City Police Department","Illegal Parking","Blocked Crosswalk","Street/Sidewalk","10470","4752 BARNES AVENUE","BARNES AVENUE","ST OUEN STREET","PENFIELD STREET","ST OUEN STREET","PENFIELD STREET","ADDRESS","BRONX","BARNES AVENUE",,"Closed",,"The Police Department issued a summons in response to the complaint.","2024-03-17T14:50:06.000","12 BRONX","2051180061","BRONX","1026300","268695","ONLINE","Unspecified","BRONX",,,,,,,,"40.904078960129176","-73.84788295865373","
,  
(40.904078960129176, -73.84788295865373)","11608","29","5","40","30","30"
"60605667","2024-03-17T13:38:15.000","2024-03-17T14:02:34.000","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","10023","WEST   76 STREET","WEST   76 STREET","CENTRAL PARK WEST","COLUMBUS AVENUE","CENTRAL PARK WEST","COLUMBUS AVENUE","BLOCKFACE",,,,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:02:37.000","Unspecified MANHATTAN",,"MANHATTAN",,,"PHONE","Unspecified","MANHATTAN",,,,,,,,,,,,,,,,
"60608991","2024-03-17T13:38:17.000","2024-03-17T15:08:17.000","NYPD","New York City Police Department","Abandoned Vehicle","With License Plate","Street/Sidewalk","11356","18-07 121 STREET","121 STREET","18 AVENUE","20 AVENUE","18 AVENUE","20 AVENUE","ADDRESS","COLLEGE POINT","121 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T15:08:23.000","07 QUEENS","4040830017","QUEENS","1026683","224576","PHONE","Unspecified","QUEENS","Truck",,,,,,,"40.78298359767808","-73.84677662027929","
,  
(40.78298359767808, -73.84677662027929)","14191","22","3","20","67","67"
"60610090","2024-03-17T13:38:33.000",,"DHS","Department of Homeless Services","Homeless Person Assistance",,"Street/Sidewalk","11104","45-13 QUEENS BOULEVARD","QUEENS BOULEVARD","45 STREET","46 STREET","45 STREET","46 STREET","ADDRESS","SUNNYSIDE","QUEENS BOULEVARD",,"Closed",,"The mobile outreach response team went to the location provided but could not find the individual that you reported.","2024-03-17T18:26:27.000","02 QUEENS","4001600005","QUEENS","1006582","210072","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74324751887589","-73.9194084222066","
,  
(40.74324751887589, -73.9194084222066)","16861","53","3","33","66","66"
"60609246","2024-03-17T13:38:50.000","2024-04-17T04:02:53.000","DCWP","Department of Consumer and Worker Protection","Consumer Complaint","Used Car Dealer","Business","11432","150-09 HILLSIDE AVENUE","HILLSIDE AVENUE","150 STREET","153 STREET","150 STREET","153 STREET","ADDRESS","JAMAICA","HILLSIDE AVENUE",,"Closed",,"The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.","2024-04-17T04:02:55.000","08 QUEENS","4097060098","QUEENS","1037961","196817","PHONE","Unspecified","QUEENS",,,,,,,,"40.70673094112877","-73.80627413905114","
,  
(40.70673094112877, -73.80627413905114)","24340","25","3","24","65","65"
"60607332","2024-03-17T13:39:00.000","2024-03-18T14:14:00.000","DSNY","Department of Sanitation","Derelict Vehicles","Derelict Vehicles","Street",,,,,,"HOUSEMAN AVENUE","HOUSEMAN AVENUE","INTERSECTION",,,"DSNY Garage","Closed",,"DSNY already has a request to investigate this reportedly abandoned vehicle and cannot open multiple service requests for the same vehicle at once. Your request is being closed while we action the prior report.","2024-03-18T12:00:00.000","0 Unspecified",,"Unspecified",,,"PHONE","Unspecified","Unspecified",,,,,,,,,,,,,,,,
